"Qualifying Name","Name of Area","FIPS","Nation","Metropolitan Statistical Area","County/County Subdivision","Total Population 2017","Median Family Income (5-year ACS)","Low Income Limits (Up to 80% of Local Area Median Income) for One Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Two Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Three Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Four Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Five Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Six Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Seven Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Eight Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for One Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Two Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Three Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Four Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Five Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Six Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Seven Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Eight Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for One Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Two Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Three Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Four Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Five Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Six Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Seven Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Eight Person Families","Fair Market Rent for Efficiency","Fair Market Rent for One Bedroom","Fair Market Rent for Two Bedrooms","Fair Market Rent for Three Bedrooms","Fair Market Rent for Four Bedrooms","FY 2020 Fair Market Rent (Two-Bedrooms)","FY 2019 Fair Market Rent (Two-Bedrooms)","Fair Market Rent (Two-Bedrooms) Percent Change between 2019 and 2020","Fair Market Rent (Two-Bedrooms) Dollar Change between 2019 and 2020"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_MSA,Geo_CCS,SE_T001_001,SE_T002_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005,SE_T003_006,SE_T003_007,SE_T003_008,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002
"Fayette County, Alabama","Fayette County","0105799999","00",,"05799999",16655,49900,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,538,612,789,878,612,628,-2.5478,-16
"Franklin County, Alabama","Franklin County","0105999999","00",,"05999999",31505,49300,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,524,612,775,829,612,628,-2.5478,-16
"Geneva County, Alabama","Geneva County","0106199999","00",,"06199999",26570,61300,34350,39250,44150,49050,53000,56900,60850,64750,21500,24550,27600,30650,33150,35600,38050,40500,12900,17240,21720,26200,30680,35160,38050,40500,503,506,666,875,995,666,682,-2.346,-16
"Greene County, Alabama","Greene County","0106399999","00",,"06399999",8535,33800,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,538,612,815,837,612,628,-2.5478,-16
"Hale County, Alabama","Hale County","0106599999","00",,"06599999",14995,67800,38000,43400,48850,54250,58600,62950,67300,71650,23750,27150,30550,33900,36650,39350,42050,44750,14250,17240,21720,26200,30680,35160,39640,44120,719,737,885,1131,1199,885,847,4.48642,38
"Henry County, Alabama","Henry County","0106799999","00",,"06799999",17110,59700,33450,38200,43000,47750,51600,55400,59250,63050,20900,23900,26900,29850,32250,34650,37050,39450,12760,17240,21720,26200,30680,34650,37050,39450,479,520,612,815,1075,612,628,-2.5478,-16
"Houston County, Alabama","Houston County","0106999999","00",,"06999999",104110,61300,34350,39250,44150,49050,53000,56900,60850,64750,21500,24550,27600,30650,33150,35600,38050,40500,12900,17240,21720,26200,30680,35160,38050,40500,503,506,666,875,995,666,682,-2.346,-16
"Jackson County, Alabama","Jackson County","0107199999","00",,"07199999",52325,50600,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,422,550,647,806,876,647,681,-4.9927,-34
"Jefferson County, Alabama","Jefferson County","0107399999","00",,"07399999",659460,73100,40950,46800,52650,58500,63200,67900,72550,77250,25600,29250,32900,36550,39500,42400,45350,48250,15400,17600,21720,26200,30680,35160,39640,44120,804,861,986,1291,1425,986,873,12.9438717,113
"Lamar County, Alabama","Lamar County","0107599999","00",,"07599999",14020,49200,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,538,612,875,878,612,628,-2.5478,-16
"Lauderdale County, Alabama","Lauderdale County","0107799999","00",,"07799999",92590,64200,35950,41100,46250,51350,55500,59600,63700,67800,22500,25700,28900,32100,34700,37250,39850,42400,13500,17240,21720,26200,30680,35160,39640,42400,498,565,714,913,1191,714,675,5.77778,39
"Lawrence County, Alabama","Lawrence County","0107999999","00",,"07999999",33290,63600,35650,40750,45850,50900,55000,59050,63150,67200,22300,25450,28650,31800,34350,36900,39450,42000,13400,17240,21720,26200,30680,35160,39450,42000,480,546,687,889,950,687,681,0.88106,6
"Lee County, Alabama","Lee County","0108199999","00",,"08199999",156595,76500,42850,49000,55100,61200,66100,71000,75900,80800,26800,30600,34450,38250,41350,44400,47450,50500,16100,18400,21720,26200,30680,35160,39640,44120,564,623,811,1066,1242,811,814,-0.36855,-3
"Limestone County, Alabama","Limestone County","0108399999","00",,"08399999",91695,85300,47800,54600,61450,68250,73750,79200,84650,90100,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,26200,30680,35160,39640,44120,567,660,782,1040,1373,782,809,-3.3375,-27
"Lowndes County, Alabama","Lowndes County","0108599999","00",,"08599999",10360,65700,36800,42050,47300,52550,56800,61000,65200,69400,23000,26300,29600,32850,35500,38150,40750,43400,13800,17240,21720,26200,30680,35160,39640,43400,583,702,830,1047,1425,830,825,0.606061,5
"Macon County, Alabama","Macon County","0108799999","00",,"08799999",19360,47300,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,480,484,637,794,1115,637,628,1.43312,9
"Madison County, Alabama","Madison County","0108999999","00",,"08999999",353215,85300,47800,54600,61450,68250,73750,79200,84650,90100,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,26200,30680,35160,39640,44120,567,660,782,1040,1373,782,809,-3.3375,-27
"Marengo County, Alabama","Marengo County","0109199999","00",,"09199999",19745,53700,30100,34400,38700,42950,46400,49850,53300,56700,18800,21500,24200,26850,29000,31150,33300,35450,12760,17240,21720,26200,29000,31150,33300,35450,474,538,612,883,1075,612,628,-2.5478,-16
"Marion County, Alabama","Marion County","0109399999","00",,"09399999",30060,48800,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,462,465,612,820,1027,612,628,-2.5478,-16
"Marshall County, Alabama","Marshall County","0109599999","00",,"09599999",94740,54000,30250,34600,38900,43200,46700,50150,53600,57050,18900,21600,24300,27000,29200,31350,33500,35650,12760,17240,21720,26200,29200,31350,33500,35650,478,481,633,854,858,633,643,-1.5552,-10
"Mobile County, Alabama","Mobile County","0109799999","00",,"09799999",414330,61400,34400,39300,44200,49100,53050,57000,60900,64850,21500,24600,27650,30700,33200,35650,38100,40550,12900,17240,21720,26200,30680,35160,38100,40550,693,699,874,1161,1288,874,848,3.06604,26
"Monroe County, Alabama","Monroe County","0109999999","00",,"09999999",21745,44200,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,538,612,763,876,612,628,-2.5478,-16
"Montgomery County, Alabama","Montgomery County","0110199999","00",,"10199999",227120,65700,36800,42050,47300,52550,56800,61000,65200,69400,23000,26300,29600,32850,35500,38150,40750,43400,13800,17240,21720,26200,30680,35160,39640,43400,583,702,830,1047,1425,830,825,0.606061,5
"Morgan County, Alabama","Morgan County","0110399999","00",,"10399999",119155,63600,35650,40750,45850,50900,55000,59050,63150,67200,22300,25450,28650,31800,34350,36900,39450,42000,13400,17240,21720,26200,30680,35160,39450,42000,480,546,687,889,950,687,681,0.88106,6
"Perry County, Alabama","Perry County","0110599999","00",,"10599999",9680,34700,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,522,538,612,778,892,612,628,-2.5478,-16
"Pickens County, Alabama","Pickens County","0110799999","00",,"10799999",20170,53900,30200,34500,38800,43100,46550,50000,53450,56900,18900,21600,24300,26950,29150,31300,33450,35600,12760,17240,21720,26200,29150,31300,33450,35600,486,489,612,826,829,612,628,-2.5478,-16
"Pike County, Alabama","Pike County","0110999999","00",,"10999999",33285,52500,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,455,546,622,843,892,622,628,-0.9554,-6
"Randolph County, Alabama","Randolph County","0111199999","00",,"11199999",22530,52200,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,537,612,838,841,612,628,-2.5478,-16
"Russell County, Alabama","Russell County","0111399999","00",,"11399999",58480,62300,34900,39900,44900,49850,53850,57850,61850,65850,21850,24950,28050,31150,33650,36150,38650,41150,13100,17240,21720,26200,30680,35160,38650,41150,594,670,790,1062,1387,790,862,-8.3526682,-72
"St. Clair County, Alabama","St. Clair County","0111599999","00",,"11599999",86935,73100,40950,46800,52650,58500,63200,67900,72550,77250,25600,29250,32900,36550,39500,42400,45350,48250,15400,17600,21720,26200,30680,35160,39640,44120,804,861,986,1291,1425,986,873,12.9438717,113
"Shelby County, Alabama","Shelby County","0111799999","00",,"11799999",208720,73100,40950,46800,52650,58500,63200,67900,72550,77250,25600,29250,32900,36550,39500,42400,45350,48250,15400,17600,21720,26200,30680,35160,39640,44120,804,861,986,1291,1425,986,873,12.9438717,113
"Sumter County, Alabama","Sumter County","0111999999","00",,"11999999",13085,43800,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,557,561,739,921,1001,739,742,-0.40431,-3
"Talladega County, Alabama","Talladega County","0112199999","00",,"12199999",80890,56700,31100,35550,40000,44400,48000,51550,55100,58650,19450,22200,25000,27750,30000,32200,34450,36650,12760,17240,21720,26200,30000,32200,34450,36650,486,489,644,829,911,644,672,-4.1667,-28
"Tallapoosa County, Alabama","Tallapoosa County","0112399999","00",,"12399999",40755,56500,31650,36200,40700,45200,48850,52450,56050,59700,19800,22600,25450,28250,30550,32800,35050,37300,12760,17240,21720,26200,30550,32800,35050,37300,507,517,612,872,1031,612,628,-2.5478,-16
"Tuscaloosa County, Alabama","Tuscaloosa County","0112599999","00",,"12599999",204425,67800,38000,43400,48850,54250,58600,62950,67300,71650,23750,27150,30550,33900,36650,39350,42050,44750,14250,17240,21720,26200,30680,35160,39640,44120,719,737,885,1131,1199,885,847,4.48642,38
"Walker County, Alabama","Walker County","0112799999","00",,"12799999",64925,64100,31100,35550,40000,44400,48000,51550,55100,58650,19450,22200,25000,27750,30000,32200,34450,36650,12760,17240,21720,26200,30000,32200,34450,36650,566,570,751,936,1044,751,664,13.1024096,87
"Washington County, Alabama","Washington County","0112999999","00",,"12999999",16745,49700,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,478,489,618,794,837,618,633,-2.3697,-15
"Wilcox County, Alabama","Wilcox County","0113199999","00",,"13199999",10920,43400,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,538,612,874,878,612,628,-2.5478,-16
"Winston County, Alabama","Winston County","0113399999","00",,"13399999",23970,47300,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,462,465,612,883,898,612,628,-2.5478,-16
"Aleutians East Borough, Alaska","Aleutians East Borough","0201399999","00",,"01399999",3340,77700,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,845,913,1203,1499,1630,1203,1118,7.6028623,85
"Aleutians West Census Area, Alaska","Aleutians West Census Area","0201699999","00",,"01699999",5785,100100,57300,65500,73700,81850,88400,94950,101500,108050,35850,40950,46050,51150,55250,59350,63450,67550,21500,24600,27650,32750,38350,43950,49550,55150,1144,1333,1755,2187,2612,1755,1657,5.9143,98
"Anchorage Municipality, Alaska","Anchorage Municipality","0202099999","00",,"02099999",298225,97300,54950,62800,70650,78500,84800,91100,97350,103650,34900,39900,44900,49850,53850,57850,61850,65850,20950,23950,27150,32750,38350,43950,49550,55150,935,991,1305,1883,2291,1305,1313,-0.60929,-8
"Bethel Census Area, Alaska","Bethel Census Area","0205099999","00",,"05099999",17955,56900,55100,62950,70800,78650,84950,91250,97550,103850,34450,39350,44250,49150,53100,57050,60950,64900,20650,23600,27150,32750,38350,43950,49550,55150,1234,1483,1688,2104,2287,1688,1563,7.9974408,125
"Bristol Bay Borough, Alaska","Bristol Bay Borough","0206099999","00",,"06099999",915,102500,54950,62800,70650,78500,84800,91100,97350,103650,35900,41000,46150,51250,55350,59450,63550,67650,21550,24600,27700,32750,38350,43950,49550,55150,844,954,1202,1622,1628,1202,1238,-2.9079,-36
"Denali Borough, Alaska","Denali Borough","0206899999","00",,"06899999",2305,110500,54950,62800,70650,78500,84800,91100,97350,103650,38700,44200,49750,55250,59700,64100,68550,72950,23250,26550,29850,33150,38350,43950,49550,55150,1081,1184,1539,1918,2291,1539,1494,3.01205,45
"Dillingham Census Area, Alaska","Dillingham Census Area","0207099999","00",,"07099999",4975,65000,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,952,1154,1393,1893,1908,1393,1312,6.17378,81
"Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough","0209099999","00",,"09099999",100030,93100,52150,59600,67050,74500,80500,86450,92400,98350,32600,37250,41900,46550,50300,54000,57750,61450,19600,22400,27150,32750,38350,43950,49550,55150,863,1006,1325,1911,2326,1325,1356,-2.2861,-31
"Haines Borough, Alaska","Haines Borough","0210099999","00",,"10099999",2535,80000,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,742,813,1057,1457,1573,1057,1012,4.44664,45
"Hoonah-Angoon Census Area, Alaska","Hoonah-Angoon Census Area","0210599999","00",,"10599999",2145,74500,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,644,869,989,1332,1340,989,866,14.2032333,123
"Juneau City and Borough, Alaska","Juneau City and Borough","0211099999","00",,"11099999",32435,117800,54950,62800,70650,78500,84800,91100,97350,103650,41250,47150,53050,58900,63650,68350,73050,77750,24750,28300,31850,35350,38350,43950,49550,55150,966,1154,1482,2132,2602,1482,1457,1.71585,25
"Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough","0212299999","00",,"12299999",57960,89700,50250,57400,64600,71750,77500,83250,89000,94750,31400,35900,40400,44850,48450,52050,55650,59250,18850,21550,27150,32750,38350,43950,49550,55150,896,905,1192,1604,1723,1192,1139,4.6532,53
"Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough","0213099999","00",,"13099999",13745,87300,48900,55900,62900,69850,75450,81050,86650,92250,30600,34950,39300,43650,47150,50650,54150,57650,18350,21550,27150,32750,38350,43950,49550,55150,921,1074,1414,1917,2455,1414,1330,6.3157895,84
"Kodiak Island Borough, Alaska","Kodiak Island Borough","0215099999","00",,"15099999",13775,98400,54950,62800,70650,78500,84800,91100,97350,103650,34450,39400,44300,49200,53150,57100,61050,64950,20650,23600,27150,32750,38350,43950,49550,55150,1019,1087,1432,2066,2074,1432,1222,17.1849427,210
"Kusilvak Census Area, Alaska","Kusilvak Census Area","0215899999","00",,"15899999",8130,38500,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,662,732,943,1175,1277,943,931,1.28894,12
"Lake and Peninsula Borough, Alaska","Lake and Peninsula Borough","0216499999","00",,"16499999",1300,50700,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,637,726,907,1194,1592,907,892,1.68161,15
"Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough","0217099999","00",,"17099999",101135,91400,51200,58500,65800,73100,78950,84800,90650,96500,32000,36600,41150,45700,49400,53050,56700,60350,19200,21950,27150,32750,38350,43950,49550,55150,741,792,1043,1505,1831,1043,1078,-3.2468,-35
"Nome Census Area, Alaska","Nome Census Area","0218099999","00",,"18099999",9870,55600,55000,62850,70700,78550,84850,91150,97450,103700,34400,39300,44200,49100,53050,57000,60900,64850,20650,23600,27150,32750,38350,43950,49550,55150,1281,1398,1685,2100,2283,1685,1599,5.37836,86
"North Slope Borough, Alaska","North Slope Borough","0218599999","00",,"18599999",9755,84900,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,1111,1190,1482,1847,2008,1482,1328,11.5963855,154
"Northwest Arctic Borough, Alaska","Northwest Arctic Borough","0218899999","00",,"18899999",7715,62000,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,1205,1213,1412,1906,1913,1412,1326,6.4856712,86
"Petersburg Borough, Alaska","Petersburg Borough","0219599999","00",,"19599999",3275,79900,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,767,957,1177,1467,1860,1177,1108,6.22744,69
"Prince of Wales-Hyder Census Area, Alaska","Prince of Wales-Hyder Census Area","0219899999","00",,"19899999",6475,67600,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,810,847,1115,1389,1510,1115,1071,4.10831,44
"Sitka City and Borough, Alaska","Sitka City and Borough","0222099999","00",,"22099999",8810,89100,49950,57050,64200,71300,77050,82750,88450,94150,31200,35650,40100,44550,48150,51700,55250,58850,18750,21550,27150,32750,38350,43950,49550,55150,950,1085,1293,1846,2233,1293,1253,3.19234,40
"Skagway Municipality, Alaska","Skagway Municipality","0223099999","00",,"23099999",1040,83600,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,995,1177,1380,1797,2054,1380,1357,1.69492,23
"Southeast Fairbanks Census Area, Alaska","Southeast Fairbanks Census Area","0224099999","00",,"24099999",6890,82700,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,911,1102,1297,1871,1951,1297,1234,5.10535,63
"Valdez-Cordova Census Area, Alaska","Valdez-Cordova Census Area","0226199999","00",,"26199999",9440,113200,54950,62800,70650,78500,84800,91100,97350,103650,39500,45150,50800,56400,60950,65450,69950,74450,23700,27100,30500,33850,38350,43950,49550,55150,809,1090,1241,1546,1847,1241,1222,1.55483,19
"Wrangell City and Borough, Alaska","Wrangell City and Borough","0227599999","00",,"27599999",2475,71400,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,764,766,1009,1307,1502,1009,989,2.02224,20
"Yakutat City and Borough, Alaska","Yakutat City and Borough","0228299999","00",,"28299999",680,90800,50900,58150,65400,72650,78500,84300,90100,95900,31800,36350,40900,45400,49050,52700,56300,59950,19100,21800,27150,32750,38350,43950,49550,55150,863,933,1229,1532,1829,1229,1175,4.59574,54
"Yukon-Koyukuk Census Area, Alaska","Yukon-Koyukuk Census Area","0229099999","00",,"29099999",5455,51400,48450,55400,62300,69200,74750,80300,85850,91350,30300,34600,38950,43250,46750,50200,53650,57100,18200,21550,27150,32750,38350,43950,49550,55150,573,717,816,1177,1433,816,780,4.61538,36
"Apache County, Arizona","Apache County","0400199999","00",,"00199999",71600,43200,27650,31600,35550,39450,42650,45800,48950,52100,17300,19750,22200,24650,26650,28600,30600,32550,12760,17240,21720,24650,26650,28600,30600,32550,502,589,723,980,1117,723,722,0.138504,1
"Cochise County, Arizona","Cochise County","0400399999","00",,"00399999",126515,66300,33550,38350,43150,47900,51750,55600,59400,63250,21000,24000,27000,29950,32350,34750,37150,39550,12760,17240,21720,26200,30680,34750,37150,39550,654,658,857,1236,1505,857,823,4.13123,34
"Coconino County, Arizona","Coconino County","0400599999","00",,"00599999",138640,75200,42150,48150,54150,60150,65000,69800,74600,79400,26350,30100,33850,37600,40650,43650,46650,49650,15800,18050,21720,26200,30680,35160,39640,44120,964,1024,1266,1653,2003,1266,1237,2.34438,29
"Gila County, Arizona","Gila County","0400799999","00",,"00799999",53145,51800,30100,34400,38700,42950,46400,49850,53300,56700,18800,21500,24200,26850,29000,31150,33300,35450,12760,17240,21720,26200,29000,31150,33300,35450,697,700,922,1244,1249,922,889,3.71204,33
"Graham County, Arizona","Graham County","0400999999","00",,"00999999",37700,62400,34950,39950,44950,49900,53900,57900,61900,65900,21850,25000,28100,31200,33700,36200,38700,41200,13100,17240,21720,26200,30680,35160,38700,41200,590,727,853,1231,1362,853,840,1.54762,13
"Greenlee County, Arizona","Greenlee County","0401199999","00",,"01199999",9370,64600,36200,41400,46550,51700,55850,60000,64150,68250,22650,25850,29100,32300,34900,37500,40100,42650,13600,17240,21720,26200,30680,35160,39640,42650,494,627,714,937,1036,714,716,-0.27933,-2
"La Paz County, Arizona","La Paz County","0401299999","00",,"01299999",20475,47300,28000,32000,36000,40000,43200,46400,49600,52800,17500,20000,22500,25000,27000,29000,31000,33000,12760,17240,21720,25000,27000,29000,31000,33000,593,651,857,1162,1212,857,823,4.13123,34
"Maricopa County, Arizona","Maricopa County","0401399999","00",,"01399999",4155500,77800,43600,49800,56050,62250,67250,72250,77200,82200,27250,31150,35050,38900,42050,45150,48250,51350,16350,18700,21720,26200,30680,35160,39640,44120,847,958,1173,1676,1916,1173,1073,9.3196645,100
"Mohave County, Arizona","Mohave County","0401599999","00",,"01599999",204690,55700,31200,35650,40100,44550,48150,51700,55250,58850,19500,22300,25100,27850,30100,32350,34550,36800,12760,17240,21720,26200,30100,32350,34550,36800,630,698,871,1256,1385,871,776,12.242268,95
"Navajo County, Arizona","Navajo County","0401799999","00",,"01799999",107900,53200,29800,34050,38300,42550,46000,49400,52800,56200,18650,21300,23950,26600,28750,30900,33000,35150,12760,17240,21720,26200,28750,30900,33000,35150,585,618,802,1087,1162,802,796,0.753769,6
"Pima County, Arizona","Pima County","0401999999","00",,"01999999",1007255,68400,38300,43800,49250,54700,59100,63500,67850,72250,23950,27400,30800,34200,36950,39700,42450,45150,14350,17240,21720,26200,30680,35160,39640,44120,618,721,949,1369,1618,949,903,5.09413,46
"Pinal County, Arizona","Pinal County","0402199999","00",,"02199999",405535,77800,43600,49800,56050,62250,67250,72250,77200,82200,27250,31150,35050,38900,42050,45150,48250,51350,16350,18700,21720,26200,30680,35160,39640,44120,847,958,1173,1676,1916,1173,1073,9.3196645,100
"Santa Cruz County, Arizona","Santa Cruz County","0402399999","00",,"02399999",46360,46800,27650,31600,35550,39450,42650,45800,48950,52100,17300,19750,22200,24650,26650,28600,30600,32550,12760,17240,21720,24650,26650,28600,30600,32550,533,571,752,1015,1019,752,749,0.400534,3
"Yavapai County, Arizona","Yavapai County","0402599999","00",,"02599999",220970,64600,36200,41400,46550,51700,55850,60000,64150,68250,22650,25850,29100,32300,34900,37500,40100,42650,13600,17240,21720,26200,30680,35160,39640,42650,714,781,1026,1438,1501,1026,958,7.0981211,68
"Yuma County, Arizona","Yuma County","0402799999","00",,"02799999",204280,56500,30750,35150,39550,43900,47450,50950,54450,57950,19250,22000,24750,27450,29650,31850,34050,36250,12760,17240,21720,26200,29650,31850,34050,36250,572,621,816,1177,1433,816,798,2.25564,18
"Arkansas County, Arkansas","Arkansas County","0500199999","00",,"00199999",18350,51800,29400,33600,37800,42000,45400,48750,52100,55450,18400,21000,23650,26250,28350,30450,32550,34650,12760,17240,21720,26200,28350,30450,32550,34650,468,487,642,847,907,642,650,-1.2308,-8
"Ashley County, Arkansas","Ashley County","0500399999","00",,"00399999",20770,50800,29400,33600,37800,42000,45400,48750,52100,55450,18400,21000,23650,26250,28350,30450,32550,34650,12760,17240,21720,26200,28350,30450,32550,34650,459,543,630,853,853,630,650,-3.0769,-20
"Baxter County, Arkansas","Baxter County","0500599999","00",,"00599999",41095,51400,29400,33600,37800,42000,45400,48750,52100,55450,18400,21000,23650,26250,28350,30450,32550,34650,12760,17240,21720,26200,28350,30450,32550,34650,478,531,699,871,947,699,715,-2.2378,-16
"Benton County, Arkansas","Benton County","0500799999","00",,"00799999",251825,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,584,630,807,1149,1417,807,758,6.4643799,49
"Boone County, Arkansas","Boone County","0500999999","00",,"00999999",37210,49900,29400,33600,37800,42000,45400,48750,52100,55450,18400,21000,23650,26250,28350,30450,32550,34650,12760,17240,21720,26200,28350,30450,32550,34650,459,503,630,909,969,630,651,-3.2258,-21
"Bradley County, Arkansas","Bradley County","0501199999","00",,"01199999",10995,49800,29400,33600,37800,42000,45400,48750,52100,55450,18400,21000,23650,26250,28350,30450,32550,34650,12760,17240,21720,26200,28350,30450,32550,34650,459,520,630,801,1074,630,662,-4.8338,-32
"Calhoun County, Arkansas","Calhoun County","0501399999","00",,"01399999",5195,50400,29400,33600,37800,42000,45400,48750,52100,55450,18400,21000,23650,26250,28350,30450,32550,34650,12760,17240,21720,26200,28350,30450,32550,34650,493,531,677,844,976,677,675,0.296296,2
"Carroll County, Arkansas","Carroll County","0501599999","00",,"01599999",27780,54700,30650,35000,39400,43750,47250,50750,54250,57750,19150,21900,24650,27350,29550,31750,33950,36150,12760,17240,21720,26200,29550,31750,33950,36150,485,507,638,795,876,638,660,-3.3333,-22
